State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,id
Alaska,AK,3,LYNDON B. JOHNSON,65.9,44329,BARRY M. GOLDWATER,34.1,22930,1964,1
Alabama,AL,10,LYNDON B. JOHNSON,30.5,210733,BARRY M. GOLDWATER,69.5,479085,1964,80
Arkansas,AR,6,LYNDON B. JOHNSON,56.1,314197,BARRY M. GOLDWATER,43.4,243264,1964,66
Arizona,AZ,5,LYNDON B. JOHNSON,49.5,237753,BARRY M. GOLDWATER,50.4,242535,1964,63
California,CA,40,LYNDON B. JOHNSON,59.1,4171877,BARRY M. GOLDWATER,40.8,2879108,1964,50
Colorado,CO,6,LYNDON B. JOHNSON,61.3,476024,BARRY M. GOLDWATER,38.2,296767,1964,52
Connecticut,CT,8,LYNDON B. JOHNSON,67.8,826269,BARRY M. GOLDWATER,32.1,390996,1964,47
Dist. of Col.,DC,3,LYNDON B. JOHNSON,85.5,169796,BARRY M. GOLDWATER,14.5,28801,1964,59
Delaware,DE,3,LYNDON B. JOHNSON,60.9,122704,BARRY M. GOLDWATER,38.8,78078,1964,70
Florida,FL,14,LYNDON B. JOHNSON,51.1,948540,BARRY M. GOLDWATER,48.9,905941,1964,94
Georgia,GA,12,LYNDON B. JOHNSON,45.9,522556,BARRY M. GOLDWATER,54.1,616584,1964,81
Hawaii,HI,4,LYNDON B. JOHNSON,78.8,163249,BARRY M. GOLDWATER,21.2,44022,1964,86
Iowa,IA,9,LYNDON B. JOHNSON,61.9,733030,BARRY M. GOLDWATER,37.9,449148,1964,42
Idaho,ID,4,LYNDON B. JOHNSON,50.9,148920,BARRY M. GOLDWATER,49.1,143557,1964,27
Illinois,IL,26,LYNDON B. JOHNSON,59.5,2796833,BARRY M. GOLDWATER,40.5,1905946,1964,31
Indiana,IN,13,LYNDON B. JOHNSON,56,1170848,BARRY M. GOLDWATER,43.6,911118,1964,43
Kansas,KS,7,LYNDON B. JOHNSON,54.1,464028,BARRY M. GOLDWATER,45.1,386579,1964,65
Kentucky,KY,9,LYNDON B. JOHNSON,64,669659,BARRY M. GOLDWATER,35.7,372977,1964,55
Louisiana,LA,10,LYNDON B. JOHNSON,43.2,387068,BARRY M. GOLDWATER,56.8,509225,1964,78
Massachusetts,MA,14,LYNDON B. JOHNSON,76.2,1786422,BARRY M. GOLDWATER,23.4,549727,1964,36
Maryland,MD,10,LYNDON B. JOHNSON,65.5,730912,BARRY M. GOLDWATER,34.5,385495,1964,58
Maine,ME,4,LYNDON B. JOHNSON,68.8,262264,BARRY M. GOLDWATER,31.2,118701,1964,12
Michigan,MI,21,LYNDON B. JOHNSON,66.7,2136615,BARRY M. GOLDWATER,33.1,1060152,1964,33
Minnesota,MN,10,LYNDON B. JOHNSON,63.8,991117,BARRY M. GOLDWATER,36,559624,1964,30
Missouri,MO,12,LYNDON B. JOHNSON,64,1164344,BARRY M. GOLDWATER,36,653535,1964,54
Mississippi,MS,7,LYNDON B. JOHNSON,12.9,52618,BARRY M. GOLDWATER,87.1,356528,1964,79
Montana,MT,4,LYNDON B. JOHNSON,58.9,164246,BARRY M. GOLDWATER,40.6,113032,1964,28
North Carolina,NC,13,LYNDON B. JOHNSON,56.2,800139,BARRY M. GOLDWATER,43.8,624844,1964,68
North Dakota,ND,4,LYNDON B. JOHNSON,58,149784,BARRY M. GOLDWATER,41.9,108207,1964,29
Nebraska,NE,5,LYNDON B. JOHNSON,52.6,307307,BARRY M. GOLDWATER,47.4,276847,1964,53
New Hampshire,NH,4,LYNDON B. JOHNSON,63.9,184064,BARRY M. GOLDWATER,36.1,104029,1964,24
New Jersey,NJ,17,LYNDON B. JOHNSON,65.6,1868231,BARRY M. GOLDWATER,33.9,964174,1964,46
New Mexico,NM,4,LYNDON B. JOHNSON,59,194015,BARRY M. GOLDWATER,40.4,132838,1964,64
Nevada,NV,3,LYNDON B. JOHNSON,58.6,79339,BARRY M. GOLDWATER,41.4,56094,1964,39
New York,NY,43,LYNDON B. JOHNSON,68.6,4913102,BARRY M. GOLDWATER,31.3,2243559,1964,34
Ohio,OH,26,LYNDON B. JOHNSON,62.9,2498331,BARRY M. GOLDWATER,37.1,1470865,1964,44
Oklahoma,OK,8,LYNDON B. JOHNSON,55.7,519834,BARRY M. GOLDWATER,44.3,412665,1964,77
Oregon,OR,6,LYNDON B. JOHNSON,63.7,501017,BARRY M. GOLDWATER,36,282779,1964,38
Pennsylvania,PA,29,LYNDON B. JOHNSON,64.9,3130954,BARRY M. GOLDWATER,34.7,1673657,1964,45
Rhode Island,RI,4,LYNDON B. JOHNSON,80.9,315463,BARRY M. GOLDWATER,19.1,74615,1964,35
South Carolina,SC,8,LYNDON B. JOHNSON,41.1,215723,BARRY M. GOLDWATER,58.9,309048,1964,69
South Dakota,SD,4,LYNDON B. JOHNSON,55.6,163010,BARRY M. GOLDWATER,44.4,130108,1964,41
Tennessee,TN,11,LYNDON B. JOHNSON,55.5,634947,BARRY M. GOLDWATER,44.5,508965,1964,67
Texas,TX,25,LYNDON B. JOHNSON,63.3,1663185,BARRY M. GOLDWATER,36.5,958566,1964,89
Utah,UT,4,LYNDON B. JOHNSON,54.7,219628,BARRY M. GOLDWATER,45.3,181785,1964,51
Virginia,VA,12,LYNDON B. JOHNSON,53.5,558038,BARRY M. GOLDWATER,46.2,481334,1964,57
Vermont,VT,3,LYNDON B. JOHNSON,66.3,108127,BARRY M. GOLDWATER,33.7,54942,1964,23
Washington,WA,9,LYNDON B. JOHNSON,62,779881,BARRY M. GOLDWATER,37.4,470366,1964,26
Wisconsin,WI,12,LYNDON B. JOHNSON,62.1,1050424,BARRY M. GOLDWATER,37.7,638495,1964,32
West Virginia,WV,7,LYNDON B. JOHNSON,67.9,538087,BARRY M. GOLDWATER,32.1,253953,1964,56
Wyoming,WY,3,LYNDON B. JOHNSON,56.6,80718,BARRY M. GOLDWATER,43.4,61998,1964,40
